signal_date,ts_code,score,rank,n_stocks,train_end,target
20240701,300012.SZ,0.0072671188,1,16,20240529,excess_vs_000300.SH
20240701,600418.SH,0.0072276526,2,16,20240529,excess_vs_000300.SH
20240701,002371.SZ,0.0047368255,3,16,20240529,excess_vs_000300.SH
20240701,002415.SZ,0.0047368255,4,16,20240529,excess_vs_000300.SH
20240701,601233.SH,0.0047368255,5,16,20240529,excess_vs_000300.SH
20240701,601899.SH,0.0047368255,6,16,20240529,excess_vs_000300.SH
20240701,688169.SH,0.0047368255,7,16,20240529,excess_vs_000300.SH
20240701,688981.SH,0.0046601642,8,16,20240529,excess_vs_000300.SH
20240701,002507.SZ,0.0028238895,9,16,20240529,excess_vs_000300.SH
20240701,601021.SH,0.0028238895,10,16,20240529,excess_vs_000300.SH
20240701,603259.SH,0.0028238895,11,16,20240529,excess_vs_000300.SH
20240701,002508.SZ,0.0016781774,12,16,20240529,excess_vs_000300.SH
20240701,300476.SZ,0.0012692117,13,16,20240529,excess_vs_000300.SH
20240701,601155.SH,0.0008247514,14,16,20240529,excess_vs_000300.SH
20240701,603345.SH,0.0008247514,15,16,20240529,excess_vs_000300.SH
20240701,688005.SH,0.0008247514,16,16,20240529,excess_vs_000300.SH
20240801,002371.SZ,0.022638083,1,16,20240702,excess_vs_000300.SH
20240801,002415.SZ,0.0194165365,2,16,20240702,excess_vs_000300.SH
20240801,002507.SZ,0.0187580255,3,16,20240702,excess_vs_000300.SH
20240801,002508.SZ,0.0177435454,4,16,20240702,excess_vs_000300.SH
20240801,688981.SH,0.0094701711,5,16,20240702,excess_vs_000300.SH
20240801,688005.SH,0.0075470326,6,16,20240702,excess_vs_000300.SH
20240801,601021.SH,0.0068376775,7,16,20240702,excess_vs_000300.SH
20240801,601155.SH,0.0066534857,8,16,20240702,excess_vs_000300.SH
20240801,603259.SH,0.0066534857,9,16,20240702,excess_vs_000300.SH
20240801,688169.SH,0.0028220364,10,16,20240702,excess_vs_000300.SH
20240801,600418.SH,0.000406136,11,16,20240702,excess_vs_000300.SH
20240801,601899.SH,-0.0007350124,12,16,20240702,excess_vs_000300.SH
20240801,300476.SZ,-0.0024181376,13,16,20240702,excess_vs_000300.SH
20240801,300012.SZ,-0.0088957316,14,16,20240702,excess_vs_000300.SH
20240801,601233.SH,-0.0108620074,15,16,20240702,excess_vs_000300.SH
20240801,603345.SH,-0.0201108966,16,16,20240702,excess_vs_000300.SH
20240902,002415.SZ,0.0088554245,1,16,20240801,excess_vs_000300.SH
20240902,002507.SZ,0.0086422302,2,16,20240801,excess_vs_000300.SH
20240902,601233.SH,0.0084595358,3,16,20240801,excess_vs_000300.SH
20240902,600418.SH,0.0055251476,4,16,20240801,excess_vs_000300.SH
20240902,002371.SZ,0.0055014129,5,16,20240801,excess_vs_000300.SH
20240902,601899.SH,0.0055014129,6,16,20240801,excess_vs_000300.SH
20240902,688169.SH,0.0049123521,7,16,20240801,excess_vs_000300.SH
20240902,603259.SH,0.0037985125,8,16,20240801,excess_vs_000300.SH
20240902,300476.SZ,0.0037747778,9,16,20240801,excess_vs_000300.SH
20240902,601155.SH,0.0033500323,10,16,20240801,excess_vs_000300.SH
20240902,603345.SH,0.0030748733,11,16,20240801,excess_vs_000300.SH
20240902,688005.SH,0.002534443,12,16,20240801,excess_vs_000300.SH
20240902,002508.SZ,0.0022180858,13,16,20240801,excess_vs_000300.SH
20240902,300012.SZ,0.0019573126,14,16,20240801,excess_vs_000300.SH
20240902,688981.SH,0.0019358088,15,16,20240801,excess_vs_000300.SH
20240902,601021.SH,0.0004012933,16,16,20240801,excess_vs_000300.SH
20241008,002415.SZ,0.0049024266,1,16,20240828,excess_vs_000300.SH
20241008,002507.SZ,0.0049024266,2,16,20240828,excess_vs_000300.SH
20241008,002508.SZ,0.0049024266,3,16,20240828,excess_vs_000300.SH
20241008,601021.SH,0.0049024266,4,16,20240828,excess_vs_000300.SH
20241008,601233.SH,0.0049024266,5,16,20240828,excess_vs_000300.SH
20241008,601899.SH,0.0049024266,6,16,20240828,excess_vs_000300.SH
20241008,002371.SZ,0.0023697826,7,16,20240828,excess_vs_000300.SH
20241008,300012.SZ,0.0023697826,8,16,20240828,excess_vs_000300.SH
20241008,300476.SZ,0.0023697826,9,16,20240828,excess_vs_000300.SH
20241008,600418.SH,0.0023697826,10,16,20240828,excess_vs_000300.SH
20241008,601155.SH,0.0023697826,11,16,20240828,excess_vs_000300.SH
20241008,603259.SH,0.0023697826,12,16,20240828,excess_vs_000300.SH
20241008,603345.SH,0.0023697826,13,16,20240828,excess_vs_000300.SH
20241008,688005.SH,0.0023697826,14,16,20240828,excess_vs_000300.SH
20241008,688169.SH,0.0023697826,15,16,20240828,excess_vs_000300.SH
20241008,688981.SH,0.0023697826,16,16,20240828,excess_vs_000300.SH
20241101,688169.SH,0.0548575167,1,16,20240925,excess_vs_000300.SH
20241101,300476.SZ,0.0284569074,2,16,20240925,excess_vs_000300.SH
20241101,002415.SZ,0.0172631998,3,16,20240925,excess_vs_000300.SH
20241101,603345.SH,0.0152316616,4,16,20240925,excess_vs_000300.SH
20241101,601021.SH,0.0130231033,5,16,20240925,excess_vs_000300.SH
20241101,600418.SH,0.0125231134,6,16,20240925,excess_vs_000300.SH
20241101,300012.SZ,0.0125119764,7,16,20240925,excess_vs_000300.SH
20241101,688981.SH,0.0115519394,8,16,20240925,excess_vs_000300.SH
20241101,002507.SZ,0.0095861324,9,16,20240925,excess_vs_000300.SH
20241101,601899.SH,0.0059919511,10,16,20240925,excess_vs_000300.SH
20241101,688005.SH,0.0010040288,11,16,20240925,excess_vs_000300.SH
20241101,002371.SZ,-0.0013848836,12,16,20240925,excess_vs_000300.SH
20241101,603259.SH,-0.0013848836,13,16,20240925,excess_vs_000300.SH
20241101,601155.SH,-0.0023006266,14,16,20240925,excess_vs_000300.SH
20241101,601233.SH,-0.0041757553,15,16,20240925,excess_vs_000300.SH
20241101,002508.SZ,-0.005443116,16,16,20240925,excess_vs_000300.SH
20241202,600418.SH,0.0129716961,1,16,20241031,excess_vs_000300.SH
20241202,601233.SH,0.0100894997,2,16,20241031,excess_vs_000300.SH
20241202,603345.SH,0.0100894997,3,16,20241031,excess_vs_000300.SH
20241202,300476.SZ,0.0098892332,4,16,20241031,excess_vs_000300.SH
20241202,601155.SH,0.0098892332,5,16,20241031,excess_vs_000300.SH
20241202,603259.SH,0.0098892332,6,16,20241031,excess_vs_000300.SH
20241202,601021.SH,0.0071101152,7,16,20241031,excess_vs_000300.SH
20241202,688005.SH,0.0059039354,8,16,20241031,excess_vs_000300.SH
20241202,601899.SH,0.0035174953,9,16,20241031,excess_vs_000300.SH
20241202,002415.SZ,0.002564256,10,16,20241031,excess_vs_000300.SH
20241202,300012.SZ,0.002564256,11,16,20241031,excess_vs_000300.SH
20241202,688169.SH,-0.0024970997,12,16,20241031,excess_vs_000300.SH
20241202,688981.SH,-0.0037647114,13,16,20241031,excess_vs_000300.SH
20241202,002371.SZ,-0.0050804005,14,16,20241031,excess_vs_000300.SH
20241202,002507.SZ,-0.0175895873,15,16,20241031,excess_vs_000300.SH
20241202,002508.SZ,-0.0175895873,16,16,20241031,excess_vs_000300.SH
20250102,601155.SH,0.0046539984,1,16,20241202,excess_vs_000300.SH
20250102,688169.SH,0.0046431418,2,16,20241202,excess_vs_000300.SH
20250102,002371.SZ,0.0042712487,3,16,20241202,excess_vs_000300.SH
20250102,002415.SZ,0.0042712487,4,16,20241202,excess_vs_000300.SH
20250102,002507.SZ,0.0042712487,5,16,20241202,excess_vs_000300.SH
20250102,002508.SZ,0.0042712487,6,16,20241202,excess_vs_000300.SH
20250102,300012.SZ,0.0042712487,7,16,20241202,excess_vs_000300.SH
20250102,300476.SZ,0.0042712487,8,16,20241202,excess_vs_000300.SH
20250102,601021.SH,0.0042712487,9,16,20241202,excess_vs_000300.SH
20250102,601233.SH,0.0042712487,10,16,20241202,excess_vs_000300.SH
20250102,601899.SH,0.0042712487,11,16,20241202,excess_vs_000300.SH
20250102,603259.SH,0.0042712487,12,16,20241202,excess_vs_000300.SH
20250102,603345.SH,0.0042712487,13,16,20241202,excess_vs_000300.SH
20250102,688981.SH,0.0042712487,14,16,20241202,excess_vs_000300.SH
20250102,600418.SH,0.003038458,15,16,20241202,excess_vs_000300.SH
20250102,688005.SH,0.0005446152,16,16,20241202,excess_vs_000300.SH
20250205,601155.SH,0.0146043856,1,16,20241226,excess_vs_000300.SH
20250205,002415.SZ,0.0109508754,2,16,20241226,excess_vs_000300.SH
20250205,300012.SZ,0.0109508754,3,16,20241226,excess_vs_000300.SH
20250205,300476.SZ,0.0109508754,4,16,20241226,excess_vs_000300.SH
20250205,600418.SH,0.0109508754,5,16,20241226,excess_vs_000300.SH
20250205,601233.SH,0.0109508754,6,16,20241226,excess_vs_000300.SH
20250205,601899.SH,0.0109508754,7,16,20241226,excess_vs_000300.SH
20250205,603259.SH,0.0109508754,8,16,20241226,excess_vs_000300.SH
20250205,688981.SH,0.0109508754,9,16,20241226,excess_vs_000300.SH
20250205,002371.SZ,0.0102597703,10,16,20241226,excess_vs_000300.SH
20250205,002507.SZ,0.0102597703,11,16,20241226,excess_vs_000300.SH
20250205,603345.SH,0.0102597703,12,16,20241226,excess_vs_000300.SH
20250205,688005.SH,0.0085387374,13,16,20241226,excess_vs_000300.SH
20250205,002508.SZ,0.0085089482,14,16,20241226,excess_vs_000300.SH
20250205,601021.SH,0.0085089482,15,16,20241226,excess_vs_000300.SH
20250205,688169.SH,0.0085089482,16,16,20241226,excess_vs_000300.SH
20250303,603259.SH,0.0241680892,1,16,20250122,excess_vs_000300.SH
20250303,601155.SH,0.0235413762,2,16,20250122,excess_vs_000300.SH
20250303,601233.SH,0.0225781371,3,16,20250122,excess_vs_000300.SH
20250303,688981.SH,0.0212743068,4,16,20250122,excess_vs_000300.SH
20250303,603345.SH,0.0195805978,5,16,20250122,excess_vs_000300.SH
20250303,002415.SZ,0.0161267749,6,16,20250122,excess_vs_000300.SH
20250303,300012.SZ,0.0140747877,7,16,20250122,excess_vs_000300.SH
20250303,600418.SH,0.0120962418,8,16,20250122,excess_vs_000300.SH
20250303,601899.SH,0.0108479467,9,16,20250122,excess_vs_000300.SH
20250303,601021.SH,0.009416796,10,16,20250122,excess_vs_000300.SH
20250303,002507.SZ,0.008351775,11,16,20250122,excess_vs_000300.SH
20250303,688169.SH,0.0081671131,12,16,20250122,excess_vs_000300.SH
20250303,688005.SH,0.0070122956,13,16,20250122,excess_vs_000300.SH
20250303,002371.SZ,0.0049985765,14,16,20250122,excess_vs_000300.SH
20250303,002508.SZ,0.0046900276,15,16,20250122,excess_vs_000300.SH
20250303,300476.SZ,-0.0029452151,16,16,20250122,excess_vs_000300.SH
20250401,601899.SH,0.0172452105,1,16,20250228,excess_vs_000300.SH
20250401,300012.SZ,0.0125873456,2,16,20250228,excess_vs_000300.SH
20250401,601233.SH,0.0095532725,3,16,20250228,excess_vs_000300.SH
20250401,603345.SH,0.0095532725,4,16,20250228,excess_vs_000300.SH
20250401,002371.SZ,0.0090808641,5,16,20250228,excess_vs_000300.SH
20250401,002507.SZ,0.0090808641,6,16,20250228,excess_vs_000300.SH
20250401,002508.SZ,0.0090808641,7,16,20250228,excess_vs_000300.SH
20250401,601021.SH,0.0090808641,8,16,20250228,excess_vs_000300.SH
20250401,601155.SH,0.0090808641,9,16,20250228,excess_vs_000300.SH
20250401,688005.SH,0.0090808641,10,16,20250228,excess_vs_000300.SH
20250401,688169.SH,0.0090808641,11,16,20250228,excess_vs_000300.SH
20250401,688981.SH,0.0090808641,12,16,20250228,excess_vs_000300.SH
20250401,600418.SH,0.0076198449,13,16,20250228,excess_vs_000300.SH
20250401,300476.SZ,0.0071507526,14,16,20250228,excess_vs_000300.SH
20250401,603259.SH,0.0063936681,15,16,20250228,excess_vs_000300.SH
20250401,002415.SZ,0.0061169659,16,16,20250228,excess_vs_000300.SH
20250506,688169.SH,0.0095299619,1,16,20250331,excess_vs_000300.SH
20250506,002371.SZ,0.0091187778,2,16,20250331,excess_vs_000300.SH
20250506,002507.SZ,0.0091187778,3,16,20250331,excess_vs_000300.SH
20250506,603345.SH,0.0091187778,4,16,20250331,excess_vs_000300.SH
20250506,600418.SH,0.0079657328,5,16,20250331,excess_vs_000300.SH
20250506,601021.SH,0.0079657328,6,16,20250331,excess_vs_000300.SH
20250506,601155.SH,0.0079657328,7,16,20250331,excess_vs_000300.SH
20250506,601899.SH,0.0079657328,8,16,20250331,excess_vs_000300.SH
20250506,688981.SH,0.0079657328,9,16,20250331,excess_vs_000300.SH
20250506,002415.SZ,0.0071022389,10,16,20250331,excess_vs_000300.SH
20250506,002508.SZ,0.0071022389,11,16,20250331,excess_vs_000300.SH
20250506,300012.SZ,0.0071022389,12,16,20250331,excess_vs_000300.SH
20250506,300476.SZ,0.0066026554,13,16,20250331,excess_vs_000300.SH
20250506,601233.SH,0.0066026554,14,16,20250331,excess_vs_000300.SH
20250506,603259.SH,0.0066026554,15,16,20250331,excess_vs_000300.SH
20250506,688005.SH,0.0066026554,16,16,20250331,excess_vs_000300.SH
20250603,002415.SZ,0.028244612,1,16,20250428,excess_vs_000300.SH
20250603,002371.SZ,0.0195505159,2,16,20250428,excess_vs_000300.SH
20250603,300012.SZ,0.0162049885,3,16,20250428,excess_vs_000300.SH
20250603,603345.SH,0.0141665748,4,16,20250428,excess_vs_000300.SH
20250603,300476.SZ,0.0131730373,5,16,20250428,excess_vs_000300.SH
20250603,601233.SH,0.0064979623,6,16,20250428,excess_vs_000300.SH
20250603,002507.SZ,0.0048218292,7,16,20250428,excess_vs_000300.SH
20250603,601021.SH,-0.0012589776,8,16,20250428,excess_vs_000300.SH
20250603,688981.SH,-0.0062807541,9,16,20250428,excess_vs_000300.SH
20250603,601899.SH,-0.0064984759,10,16,20250428,excess_vs_000300.SH
20250603,002508.SZ,-0.0112018406,11,16,20250428,excess_vs_000300.SH
20250603,600418.SH,-0.0185759034,12,16,20250428,excess_vs_000300.SH
20250603,688169.SH,-0.0239551936,13,16,20250428,excess_vs_000300.SH
20250603,601155.SH,-0.0288714912,14,16,20250428,excess_vs_000300.SH
20250603,603259.SH,-0.034321603,15,16,20250428,excess_vs_000300.SH
20250603,688005.SH,-0.0434906668,16,16,20250428,excess_vs_000300.SH
